id,experiment_id,campaign_name,roi,cac,cpl,ctr,conversion_rate,impressions,clicks,leads,channel_performance,audience_segments,predicted_roi
bce30fce-adaf-4fce-a85c-00b432b5da3f,d145ff4b-f06e-4675-a7f5-f424cca16924,Reativação,5.99,275.46,45.95,0.0234,0.0404,466189,6424,498,"{""google_ads"": {""roi"": 4.5, ""spend"": 10000}, ""facebook_ads"": {""roi"": 3.8, ""spend"": 8000}, ""instagram_ads"": {""roi"": 5.2, ""spend"": 6000}}","{""age_18_24"": 0.15, ""age_25_34"": 0.35, ""age_35_44"": 0.3, ""age_45_plus"": 0.2}",8.41
99261271-50a0-4ed3-ad75-b8977292181b,694c0ff4-68ab-4624-8790-c93c4d7a8632,Lançamento,6.39,202.35,67.87,0.0225,0.0538,60169,6135,1146,"{""google_ads"": {""roi"": 4.5, ""spend"": 10000}, ""facebook_ads"": {""roi"": 3.8, ""spend"": 8000}, ""instagram_ads"": {""roi"": 5.2, ""spend"": 6000}}","{""age_18_24"": 0.15, ""age_25_34"": 0.35, ""age_35_44"": 0.3, ""age_45_plus"": 0.2}",8.28
b8b4a790-7887-4ce5-b173-711b8049e6ed,8efc0726-9286-44cc-b384-05b95fa98974,Reativação,2.87,147.39,27.56,0.0381,0.0627,240726,14889,220,"{""google_ads"": {""roi"": 4.5, ""spend"": 10000}, ""facebook_ads"": {""roi"": 3.8, ""spend"": 8000}, ""instagram_ads"": {""roi"": 5.2, ""spend"": 6000}}","{""age_18_24"": 0.15, ""age_25_34"": 0.35, ""age_35_44"": 0.3, ""age_45_plus"": 0.2}",5.84
32422dd4-e1b8-4bcd-9a93-51e9d2997d2b,6536c806-1c9f-49f5-9975-a13be41f52d5,Lançamento,6.81,289.17,46.51,0.0244,0.073,154888,14502,485,"{""google_ads"": {""roi"": 4.5, ""spend"": 10000}, ""facebook_ads"": {""roi"": 3.8, ""spend"": 8000}, ""instagram_ads"": {""roi"": 5.2, ""spend"": 6000}}","{""age_18_24"": 0.15, ""age_25_34"": 0.35, ""age_35_44"": 0.3, ""age_45_plus"": 0.2}",8.75
633b4c3c-25c7-4c59-b397-228b65f35897,f8ac18ab-fb55-4257-93f7-7a913b59713b,Lançamento,5.38,176.03,31.13,0.0263,0.062,497060,1178,710,"{""google_ads"": {""roi"": 4.5, ""spend"": 10000}, ""facebook_ads"": {""roi"": 3.8, ""spend"": 8000}, ""instagram_ads"": {""roi"": 5.2, ""spend"": 6000}}","{""age_18_24"": 0.15, ""age_25_34"": 0.35, ""age_35_44"": 0.3, ""age_45_plus"": 0.2}",4.57
f4a26851-ea38-49eb-b92c-311aa29ba430,615f77b3-6b66-4964-aeb9-d9a0a314fc01,Natal,2.93,166.23,74.14,0.0194,0.0576,341118,3571,1009,"{""google_ads"": {""roi"": 4.5, ""spend"": 10000}, ""facebook_ads"": {""roi"": 3.8, ""spend"": 8000}, ""instagram_ads"": {""roi"": 5.2, ""spend"": 6000}}","{""age_18_24"": 0.15, ""age_25_34"": 0.35, ""age_35_44"": 0.3, ""age_45_plus"": 0.2}",7.55
b9252cd7-0e46-417a-ad92-23fe3ddd8f8b,4f418ffd-76e2-4d72-8101-0243be3b5880,Natal,4.07,196.62,35.98,0.0155,0.0231,221199,10053,1077,"{""google_ads"": {""roi"": 4.5, ""spend"": 10000}, ""facebook_ads"": {""roi"": 3.8, ""spend"": 8000}, ""instagram_ads"": {""roi"": 5.2, ""spend"": 6000}}","{""age_18_24"": 0.15, ""age_25_34"": 0.35, ""age_35_44"": 0.3, ""age_45_plus"": 0.2}",5.21
c4634798-eff4-4811-945d-bcce870366bb,f6194c77-edb2-4a60-9a0b-260ede46b817,Black Friday,5.96,211.58,40.71,0.0248,0.0702,68105,11545,679,"{""google_ads"": {""roi"": 4.5, ""spend"": 10000}, ""facebook_ads"": {""roi"": 3.8, ""spend"": 8000}, ""instagram_ads"": {""roi"": 5.2, ""spend"": 6000}}","{""age_18_24"": 0.15, ""age_25_34"": 0.35, ""age_35_44"": 0.3, ""age_45_plus"": 0.2}",4.94
0fbbbdc3-9147-4e1f-83e1-8537f4b7b443,9790dede-9b6f-4c8f-b92b-7452c29f6022,Black Friday,7.36,63.96,61.62,0.019,0.0238,85596,3292,410,"{""google_ads"": {""roi"": 4.5, ""spend"": 10000}, ""facebook_ads"": {""roi"": 3.8, ""spend"": 8000}, ""instagram_ads"": {""roi"": 5.2, ""spend"": 6000}}","{""age_18_24"": 0.15, ""age_25_34"": 0.35, ""age_35_44"": 0.3, ""age_45_plus"": 0.2}",3.61
0e1538c7-c43f-4327-9bf4-b21794eed7a9,13e99681-04d8-4352-b8a4-7850f711ec9e,Black Friday,6.65,293.08,36.98,0.0274,0.0651,308188,7562,227,"{""google_ads"": {""roi"": 4.5, ""spend"": 10000}, ""facebook_ads"": {""roi"": 3.8, ""spend"": 8000}, ""instagram_ads"": {""roi"": 5.2, ""spend"": 6000}}","{""age_18_24"": 0.15, ""age_25_34"": 0.35, ""age_35_44"": 0.3, ""age_45_plus"": 0.2}",6.15
6078d218-1c18-4d82-b411-06ad78ab594e,1d7c74f8-64f4-4417-a9b4-77e81e13761c,Natal,6.32,187.02,20.82,0.0212,0.0295,449908,5272,565,"{""google_ads"": {""roi"": 4.5, ""spend"": 10000}, ""facebook_ads"": {""roi"": 3.8, ""spend"": 8000}, ""instagram_ads"": {""roi"": 5.2, ""spend"": 6000}}","{""age_18_24"": 0.15, ""age_25_34"": 0.35, ""age_35_44"": 0.3, ""age_45_plus"": 0.2}",4.44
95787a88-06a9-4cdf-b722-464118dfbc4f,e3658fb5-2f3b-494f-93eb-992c05d93c72,Black Friday,2.79,260.72,29.66,0.0163,0.0331,171983,3500,381,"{""google_ads"": {""roi"": 4.5, ""spend"": 10000}, ""facebook_ads"": {""roi"": 3.8, ""spend"": 8000}, ""instagram_ads"": {""roi"": 5.2, ""spend"": 6000}}","{""age_18_24"": 0.15, ""age_25_34"": 0.35, ""age_35_44"": 0.3, ""age_45_plus"": 0.2}",6.0
c11f14dd-7e65-4b98-976c-a19821196aaa,7e1e68cf-cd6b-487b-b274-54324b26acf3,Natal,2.61,241.38,46.99,0.0351,0.0618,338374,2113,182,"{""google_ads"": {""roi"": 4.5, ""spend"": 10000}, ""facebook_ads"": {""roi"": 3.8, ""spend"": 8000}, ""instagram_ads"": {""roi"": 5.2, ""spend"": 6000}}","{""age_18_24"": 0.15, ""age_25_34"": 0.35, ""age_35_44"": 0.3, ""age_45_plus"": 0.2}",4.2
