id,tenant_id,name,dataset_id,algorithm,task_type,status,target_column,feature_columns,hyperparameters,preset,metrics,feature_importance,predictions_sample,confusion_matrix,training_duration,model_path,is_deployed,market_area,created_at
3a0f035f-3bb8-4847-9cc6-6d6b3503fb7d,4c468ad9-aa48-4691-90f2-54651adcecc7,Global Imports - XGBOOST Analysis,363a33a7-cd17-47cb-b626-5d5864cfc2e1,xgboost,regression,completed,revenue,"[""orders"", ""visits"", ""marketing_spend"", ""leads""]","{""n_estimators"": 300, ""learning_rate"": 0.05, ""max_depth"": 6}",balanced,"{""r2_score"": 0.8099, ""rmse"": 14131.36, ""mae"": 6970.26}","{""marketing_spend"": 0.35, ""visits"": 0.28, ""orders"": 0.22, ""leads"": 0.15}","[{""actual"": 50000, ""predicted"": 48500}, {""actual"": 55000, ""predicted"": 56200}]",,52049,/models/4c468ad9-aa48-4691-90f2-54651adcecc7/xgboost_f6754f42-8fa5-49c1-b257-d58f63a2ca4b.pkl,False,sales,2025-11-10 13:50:48.728177
1a559f39-d815-4dbe-b9ef-ddac8419cfc2,4c468ad9-aa48-4691-90f2-54651adcecc7,Global Imports - LIGHTGBM Analysis,363a33a7-cd17-47cb-b626-5d5864cfc2e1,lightgbm,classification,completed,churn,"[""orders"", ""visits"", ""marketing_spend"", ""leads""]","{""num_leaves"": 63, ""learning_rate"": 0.05}",accurate,"{""accuracy"": 0.8949, ""precision"": 0.9062, ""recall"": 0.8571, ""f1"": 0.8329}","{""marketing_spend"": 0.35, ""visits"": 0.28, ""orders"": 0.22, ""leads"": 0.15}","[{""actual"": 50000, ""predicted"": 48500}, {""actual"": 55000, ""predicted"": 56200}]","[[45, 5], [3, 47]]",14150,/models/4c468ad9-aa48-4691-90f2-54651adcecc7/lightgbm_55f34b89-df97-4002-923d-b9fca4afa582.pkl,True,marketing,2025-09-27 13:50:48.728204
6c18c402-d2a4-48cd-b1ed-5e800c74d54b,4c468ad9-aa48-4691-90f2-54651adcecc7,Global Imports - PROPHET Analysis,363a33a7-cd17-47cb-b626-5d5864cfc2e1,prophet,timeseries,completed,,"[""orders"", ""visits"", ""marketing_spend"", ""leads""]","{""seasonality_mode"": ""multiplicative""}",accurate,"{""mape"": 0.0758, ""rmse"": 12092.1}","{""marketing_spend"": 0.35, ""visits"": 0.28, ""orders"": 0.22, ""leads"": 0.15}","[{""actual"": 50000, ""predicted"": 48500}, {""actual"": 55000, ""predicted"": 56200}]",,43242,/models/4c468ad9-aa48-4691-90f2-54651adcecc7/prophet_56963dae-80af-43ba-b284-6c9d6dd1c559.pkl,False,sales,2025-10-22 13:50:48.728226
deac9a2c-b753-4a6b-be0e-6d997c59a979,4c468ad9-aa48-4691-90f2-54651adcecc7,Global Imports - KMEANS Analysis,363a33a7-cd17-47cb-b626-5d5864cfc2e1,kmeans,clustering,completed,,"[""orders"", ""visits"", ""marketing_spend"", ""leads""]","{""n_clusters"": 4, ""init"": ""k-means++""}",fast,"{""silhouette_score"": 0.7492, ""n_clusters"": 3}","{""marketing_spend"": 0.35, ""visits"": 0.28, ""orders"": 0.22, ""leads"": 0.15}","[{""actual"": 50000, ""predicted"": 48500}, {""actual"": 55000, ""predicted"": 56200}]",,38392,/models/4c468ad9-aa48-4691-90f2-54651adcecc7/kmeans_0fbf7e9d-54f6-4cc5-8787-d4f4e90d40fd.pkl,False,customers,2025-11-26 13:50:48.728255
eeb62b2a-1025-4831-bdf6-952ad1a458a8,4c468ad9-aa48-4691-90f2-54651adcecc7,Global Imports - RANDOM_FOREST Analysis,363a33a7-cd17-47cb-b626-5d5864cfc2e1,random_forest,regression,completed,revenue,"[""orders"", ""visits"", ""marketing_spend"", ""leads""]","{""n_estimators"": 300, ""max_depth"": 15}",fast,"{""r2_score"": 0.9292, ""rmse"": 6528.41, ""mae"": 4119.87}","{""marketing_spend"": 0.35, ""visits"": 0.28, ""orders"": 0.22, ""leads"": 0.15}","[{""actual"": 50000, ""predicted"": 48500}, {""actual"": 55000, ""predicted"": 56200}]",,49596,/models/4c468ad9-aa48-4691-90f2-54651adcecc7/random_forest_a258def6-4843-4b77-8c33-6195336f9373.pkl,False,finance,2025-09-22 13:50:48.728278
545683bf-57a0-46f0-96ae-ee396b5299de,4c468ad9-aa48-4691-90f2-54651adcecc7,EcoFriendly Corp - XGBOOST Analysis,f465f20d-6a3e-472c-8c22-60af82850fed,xgboost,regression,completed,revenue,"[""orders"", ""visits"", ""marketing_spend"", ""leads""]","{""n_estimators"": 300, ""learning_rate"": 0.05, ""max_depth"": 6}",fast,"{""r2_score"": 0.8577, ""rmse"": 10958.88, ""mae"": 6276.35}","{""marketing_spend"": 0.35, ""visits"": 0.28, ""orders"": 0.22, ""leads"": 0.15}","[{""actual"": 50000, ""predicted"": 48500}, {""actual"": 55000, ""predicted"": 56200}]",,21476,/models/4c468ad9-aa48-4691-90f2-54651adcecc7/xgboost_31fff752-7886-4846-b220-b3f693944879.pkl,True,sales,2025-09-11 13:50:48.728309
cb4d21f6-283e-4095-b129-3406a75f3abd,4c468ad9-aa48-4691-90f2-54651adcecc7,EcoFriendly Corp - LIGHTGBM Analysis,f465f20d-6a3e-472c-8c22-60af82850fed,lightgbm,classification,completed,churn,"[""orders"", ""visits"", ""marketing_spend"", ""leads""]","{""num_leaves"": 63, ""learning_rate"": 0.05}",accurate,"{""accuracy"": 0.8603, ""precision"": 0.9062, ""recall"": 0.8701, ""f1"": 0.8892}","{""marketing_spend"": 0.35, ""visits"": 0.28, ""orders"": 0.22, ""leads"": 0.15}","[{""actual"": 50000, ""predicted"": 48500}, {""actual"": 55000, ""predicted"": 56200}]","[[45, 5], [3, 47]]",27293,/models/4c468ad9-aa48-4691-90f2-54651adcecc7/lightgbm_5967642c-39c8-41ba-b591-4c546fbbcb68.pkl,True,marketing,2025-10-31 13:50:48.728333
d412645b-5237-46d1-b61d-3fc81c382a72,4c468ad9-aa48-4691-90f2-54651adcecc7,EcoFriendly Corp - PROPHET Analysis,f465f20d-6a3e-472c-8c22-60af82850fed,prophet,timeseries,completed,,"[""orders"", ""visits"", ""marketing_spend"", ""leads""]","{""seasonality_mode"": ""multiplicative""}",balanced,"{""mape"": 0.0695, ""rmse"": 8022.72}","{""marketing_spend"": 0.35, ""visits"": 0.28, ""orders"": 0.22, ""leads"": 0.15}","[{""actual"": 50000, ""predicted"": 48500}, {""actual"": 55000, ""predicted"": 56200}]",,52323,/models/4c468ad9-aa48-4691-90f2-54651adcecc7/prophet_d544aea1-5d85-48ca-a029-8b2e68dd3c30.pkl,False,sales,2025-10-04 13:50:48.728356
7e8a1213-f6c6-4fe3-9cbf-1392d55c2468,4c468ad9-aa48-4691-90f2-54651adcecc7,EcoFriendly Corp - KMEANS Analysis,f465f20d-6a3e-472c-8c22-60af82850fed,kmeans,clustering,completed,,"[""orders"", ""visits"", ""marketing_spend"", ""leads""]","{""n_clusters"": 4, ""init"": ""k-means++""}",fast,"{""silhouette_score"": 0.6023, ""n_clusters"": 3}","{""marketing_spend"": 0.35, ""visits"": 0.28, ""orders"": 0.22, ""leads"": 0.15}","[{""actual"": 50000, ""predicted"": 48500}, {""actual"": 55000, ""predicted"": 56200}]",,45979,/models/4c468ad9-aa48-4691-90f2-54651adcecc7/kmeans_d200c82b-e4ef-4f96-84c7-9526ef712f61.pkl,False,customers,2025-09-17 13:50:48.728386
ecf8eb50-6673-40ee-a140-769198029482,4c468ad9-aa48-4691-90f2-54651adcecc7,EcoFriendly Corp - RANDOM_FOREST Analysis,f465f20d-6a3e-472c-8c22-60af82850fed,random_forest,regression,completed,revenue,"[""orders"", ""visits"", ""marketing_spend"", ""leads""]","{""n_estimators"": 300, ""max_depth"": 15}",accurate,"{""r2_score"": 0.8913, ""rmse"": 6528.39, ""mae"": 8337.58}","{""marketing_spend"": 0.35, ""visits"": 0.28, ""orders"": 0.22, ""leads"": 0.15}","[{""actual"": 50000, ""predicted"": 48500}, {""actual"": 55000, ""predicted"": 56200}]",,40348,/models/4c468ad9-aa48-4691-90f2-54651adcecc7/random_forest_e8b21213-d151-469e-864b-b8770aa8b92a.pkl,True,finance,2025-09-22 13:50:48.728408
0d7c8f71-eb44-4985-9544-e0062fe27738,4c468ad9-aa48-4691-90f2-54651adcecc7,FastLogistics - XGBOOST Analysis,7b9e40bf-68bc-44b1-bb49-04297a46cada,xgboost,regression,completed,revenue,"[""orders"", ""visits"", ""marketing_spend"", ""leads""]","{""n_estimators"": 300, ""learning_rate"": 0.05, ""max_depth"": 6}",balanced,"{""r2_score"": 0.8733, ""rmse"": 6118.68, ""mae"": 5540.87}","{""marketing_spend"": 0.35, ""visits"": 0.28, ""orders"": 0.22, ""leads"": 0.15}","[{""actual"": 50000, ""predicted"": 48500}, {""actual"": 55000, ""predicted"": 56200}]",,59504,/models/4c468ad9-aa48-4691-90f2-54651adcecc7/xgboost_d8e0f276-773b-4f1f-9155-43cb9078af27.pkl,False,sales,2025-11-07 13:50:48.728431
8c167a83-ac9a-44e4-9cc5-97302f53fb97,4c468ad9-aa48-4691-90f2-54651adcecc7,FastLogistics - LIGHTGBM Analysis,7b9e40bf-68bc-44b1-bb49-04297a46cada,lightgbm,classification,completed,churn,"[""orders"", ""visits"", ""marketing_spend"", ""leads""]","{""num_leaves"": 63, ""learning_rate"": 0.05}",fast,"{""accuracy"": 0.8717, ""precision"": 0.8681, ""recall"": 0.7895, ""f1"": 0.8859}","{""marketing_spend"": 0.35, ""visits"": 0.28, ""orders"": 0.22, ""leads"": 0.15}","[{""actual"": 50000, ""predicted"": 48500}, {""actual"": 55000, ""predicted"": 56200}]","[[45, 5], [3, 47]]",58478,/models/4c468ad9-aa48-4691-90f2-54651adcecc7/lightgbm_dc868216-a40a-49dd-b8b0-aacf8adf3426.pkl,True,marketing,2025-09-30 13:50:48.728457
4d1ff1ce-8b6e-4cf6-8c67-717ba332d72d,4c468ad9-aa48-4691-90f2-54651adcecc7,FastLogistics - PROPHET Analysis,7b9e40bf-68bc-44b1-bb49-04297a46cada,prophet,timeseries,completed,,"[""orders"", ""visits"", ""marketing_spend"", ""leads""]","{""seasonality_mode"": ""multiplicative""}",fast,"{""mape"": 0.0677, ""rmse"": 11326.98}","{""marketing_spend"": 0.35, ""visits"": 0.28, ""orders"": 0.22, ""leads"": 0.15}","[{""actual"": 50000, ""predicted"": 48500}, {""actual"": 55000, ""predicted"": 56200}]",,41031,/models/4c468ad9-aa48-4691-90f2-54651adcecc7/prophet_7f4d08d8-16e7-4411-878f-eb5f05d580cc.pkl,True,sales,2025-11-04 13:50:48.728506
d145ff4b-f06e-4675-a7f5-f424cca16924,4c468ad9-aa48-4691-90f2-54651adcecc7,FastLogistics - KMEANS Analysis,7b9e40bf-68bc-44b1-bb49-04297a46cada,kmeans,clustering,completed,,"[""orders"", ""visits"", ""marketing_spend"", ""leads""]","{""n_clusters"": 4, ""init"": ""k-means++""}",accurate,"{""silhouette_score"": 0.7117, ""n_clusters"": 4}","{""marketing_spend"": 0.35, ""visits"": 0.28, ""orders"": 0.22, ""leads"": 0.15}","[{""actual"": 50000, ""predicted"": 48500}, {""actual"": 55000, ""predicted"": 56200}]",,18880,/models/4c468ad9-aa48-4691-90f2-54651adcecc7/kmeans_fb6500f0-fdca-4419-b9a6-5ef909b06e5d.pkl,True,customers,2025-10-29 13:50:48.728535
694c0ff4-68ab-4624-8790-c93c4d7a8632,4c468ad9-aa48-4691-90f2-54651adcecc7,FastLogistics - RANDOM_FOREST Analysis,7b9e40bf-68bc-44b1-bb49-04297a46cada,random_forest,regression,completed,revenue,"[""orders"", ""visits"", ""marketing_spend"", ""leads""]","{""n_estimators"": 300, ""max_depth"": 15}",balanced,"{""r2_score"": 0.9493, ""rmse"": 11498.78, ""mae"": 6066.7}","{""marketing_spend"": 0.35, ""visits"": 0.28, ""orders"": 0.22, ""leads"": 0.15}","[{""actual"": 50000, ""predicted"": 48500}, {""actual"": 55000, ""predicted"": 56200}]",,38919,/models/4c468ad9-aa48-4691-90f2-54651adcecc7/random_forest_eff5e737-782f-481d-a7b9-927370e916c1.pkl,False,finance,2025-11-22 13:50:48.728560
6b71db46-6b49-486d-bbb9-21f2fc7252d5,4c468ad9-aa48-4691-90f2-54651adcecc7,HealthPlus - XGBOOST Analysis,98f88aa1-91e8-474b-b755-47af228898ed,xgboost,regression,completed,revenue,"[""orders"", ""visits"", ""marketing_spend"", ""leads""]","{""n_estimators"": 300, ""learning_rate"": 0.05, ""max_depth"": 6}",fast,"{""r2_score"": 0.8337, ""rmse"": 8380.86, ""mae"": 7118.16}","{""marketing_spend"": 0.35, ""visits"": 0.28, ""orders"": 0.22, ""leads"": 0.15}","[{""actual"": 50000, ""predicted"": 48500}, {""actual"": 55000, ""predicted"": 56200}]",,20080,/models/4c468ad9-aa48-4691-90f2-54651adcecc7/xgboost_b5a7efed-6e37-4a59-aaa1-f1e3f2469ab8.pkl,True,sales,2025-12-07 13:50:48.728600
692064d8-b06a-4dba-bf2e-a8350014fa30,4c468ad9-aa48-4691-90f2-54651adcecc7,HealthPlus - LIGHTGBM Analysis,98f88aa1-91e8-474b-b755-47af228898ed,lightgbm,classification,completed,churn,"[""orders"", ""visits"", ""marketing_spend"", ""leads""]","{""num_leaves"": 63, ""learning_rate"": 0.05}",fast,"{""accuracy"": 0.9137, ""precision"": 0.8071, ""recall"": 0.7881, ""f1"": 0.8228}","{""marketing_spend"": 0.35, ""visits"": 0.28, ""orders"": 0.22, ""leads"": 0.15}","[{""actual"": 50000, ""predicted"": 48500}, {""actual"": 55000, ""predicted"": 56200}]","[[45, 5], [3, 47]]",26654,/models/4c468ad9-aa48-4691-90f2-54651adcecc7/lightgbm_df4050d4-5882-49dc-b7e9-b0ddbe834172.pkl,True,marketing,2025-10-03 13:50:48.728625
0fda7499-c3fc-46b6-b4b5-eab34c6d5082,4c468ad9-aa48-4691-90f2-54651adcecc7,HealthPlus - PROPHET Analysis,98f88aa1-91e8-474b-b755-47af228898ed,prophet,timeseries,completed,,"[""orders"", ""visits"", ""marketing_spend"", ""leads""]","{""seasonality_mode"": ""multiplicative""}",fast,"{""mape"": 0.0767, ""rmse"": 11397.9}","{""marketing_spend"": 0.35, ""visits"": 0.28, ""orders"": 0.22, ""leads"": 0.15}","[{""actual"": 50000, ""predicted"": 48500}, {""actual"": 55000, ""predicted"": 56200}]",,40339,/models/4c468ad9-aa48-4691-90f2-54651adcecc7/prophet_3f0b1d5e-2323-4c36-aabf-4297b4a238a9.pkl,True,sales,2025-09-25 13:50:48.728648
c8fbef86-1749-4c27-be3f-4d5cc1621f07,4c468ad9-aa48-4691-90f2-54651adcecc7,HealthPlus - KMEANS Analysis,98f88aa1-91e8-474b-b755-47af228898ed,kmeans,clustering,completed,,"[""orders"", ""visits"", ""marketing_spend"", ""leads""]","{""n_clusters"": 4, ""init"": ""k-means++""}",accurate,"{""silhouette_score"": 0.5918, ""n_clusters"": 4}","{""marketing_spend"": 0.35, ""visits"": 0.28, ""orders"": 0.22, ""leads"": 0.15}","[{""actual"": 50000, ""predicted"": 48500}, {""actual"": 55000, ""predicted"": 56200}]",,57920,/models/4c468ad9-aa48-4691-90f2-54651adcecc7/kmeans_adb061b0-7dae-4ded-838e-2e3a7b6cb257.pkl,False,customers,2025-11-13 13:50:48.728705
075ae4f4-52bd-473f-b9cd-eadf7ec8defc,4c468ad9-aa48-4691-90f2-54651adcecc7,HealthPlus - RANDOM_FOREST Analysis,98f88aa1-91e8-474b-b755-47af228898ed,random_forest,regression,completed,revenue,"[""orders"", ""visits"", ""marketing_spend"", ""leads""]","{""n_estimators"": 300, ""max_depth"": 15}",fast,"{""r2_score"": 0.8145, ""rmse"": 9310.51, ""mae"": 5965.05}","{""marketing_spend"": 0.35, ""visits"": 0.28, ""orders"": 0.22, ""leads"": 0.15}","[{""actual"": 50000, ""predicted"": 48500}, {""actual"": 55000, ""predicted"": 56200}]",,35606,/models/4c468ad9-aa48-4691-90f2-54651adcecc7/random_forest_46a25e66-1168-4ea4-9e97-59964ab809c2.pkl,True,finance,2025-09-12 13:50:48.728761
8efc0726-9286-44cc-b384-05b95fa98974,4c468ad9-aa48-4691-90f2-54651adcecc7,Ecommerce Brasil - XGBOOST Analysis,32865d09-b9f3-474d-a685-02038171d822,xgboost,regression,completed,revenue,"[""orders"", ""visits"", ""marketing_spend"", ""leads""]","{""n_estimators"": 300, ""learning_rate"": 0.05, ""max_depth"": 6}",accurate,"{""r2_score"": 0.9476, ""rmse"": 5984.18, ""mae"": 5818.35}","{""marketing_spend"": 0.35, ""visits"": 0.28, ""orders"": 0.22, ""leads"": 0.15}","[{""actual"": 50000, ""predicted"": 48500}, {""actual"": 55000, ""predicted"": 56200}]",,27236,/models/4c468ad9-aa48-4691-90f2-54651adcecc7/xgboost_1933d909-078c-4298-a4b1-991e73659da7.pkl,True,sales,2025-11-06 13:50:48.728839
b4484816-6766-4ea5-bd34-1191414a888a,4c468ad9-aa48-4691-90f2-54651adcecc7,Ecommerce Brasil - LIGHTGBM Analysis,32865d09-b9f3-474d-a685-02038171d822,lightgbm,classification,completed,churn,"[""orders"", ""visits"", ""marketing_spend"", ""leads""]","{""num_leaves"": 63, ""learning_rate"": 0.05}",fast,"{""accuracy"": 0.8671, ""precision"": 0.8538, ""recall"": 0.8306, ""f1"": 0.8451}","{""marketing_spend"": 0.35, ""visits"": 0.28, ""orders"": 0.22, ""leads"": 0.15}","[{""actual"": 50000, ""predicted"": 48500}, {""actual"": 55000, ""predicted"": 56200}]","[[45, 5], [3, 47]]",21371,/models/4c468ad9-aa48-4691-90f2-54651adcecc7/lightgbm_30f6640e-b145-421b-8e40-9d4110261f7d.pkl,True,marketing,2025-10-12 13:50:48.728876
68af54b0-0b7b-4b4b-a516-991b03504dcf,4c468ad9-aa48-4691-90f2-54651adcecc7,Ecommerce Brasil - PROPHET Analysis,32865d09-b9f3-474d-a685-02038171d822,prophet,timeseries,completed,,"[""orders"", ""visits"", ""marketing_spend"", ""leads""]","{""seasonality_mode"": ""multiplicative""}",accurate,"{""mape"": 0.0659, ""rmse"": 12565.01}","{""marketing_spend"": 0.35, ""visits"": 0.28, ""orders"": 0.22, ""leads"": 0.15}","[{""actual"": 50000, ""predicted"": 48500}, {""actual"": 55000, ""predicted"": 56200}]",,40427,/models/4c468ad9-aa48-4691-90f2-54651adcecc7/prophet_f6f4aaa4-74d0-4bb1-b872-8e7dae0c051c.pkl,True,sales,2025-11-26 13:50:48.728931
440027d2-c54c-4f76-b753-f79cf0a7381c,4c468ad9-aa48-4691-90f2-54651adcecc7,Ecommerce Brasil - KMEANS Analysis,32865d09-b9f3-474d-a685-02038171d822,kmeans,clustering,completed,,"[""orders"", ""visits"", ""marketing_spend"", ""leads""]","{""n_clusters"": 4, ""init"": ""k-means++""}",fast,"{""silhouette_score"": 0.4999, ""n_clusters"": 4}","{""marketing_spend"": 0.35, ""visits"": 0.28, ""orders"": 0.22, ""leads"": 0.15}","[{""actual"": 50000, ""predicted"": 48500}, {""actual"": 55000, ""predicted"": 56200}]",,36546,/models/4c468ad9-aa48-4691-90f2-54651adcecc7/kmeans_1b394e5f-a5f6-4c33-afed-036ada73d00a.pkl,True,customers,2025-10-17 13:50:48.728962
