id,customer_id,tenant_id,journey_type,journey_name,current_step,total_steps,status,next_action_channel,next_action_type,next_action_content,next_action_at,response_rate,engagement_score,trigger_data,started_at,completed_at
11,367ded8c-91a1-4135-aba5-2d71fcf5b950,226,abandoned_cart,Recuperação de Carrinho,3,3,completed,email,send_sms,Accusantium quasi autem officiis perferendis dolor.,2025-12-10 02:50:49.177153,0.22,0.62,"{""cart_value"": 395.07, ""items_count"": 2}",2025-11-28 13:50:49.177158,
12,1144bf0c-da8d-4b1b-8248-b91a4c6afefc,226,upsell,Upsell,1,3,completed,email,send_email,Aliquam inventore quis tenetur voluptatum ad quasi.,2025-12-08 15:50:49.177170,0.4,0.53,"{""cart_value"": 186.58, ""items_count"": 3}",2025-12-02 13:50:49.177175,2025-12-06 13:50:49.177176
13,ac5b4982-2fd6-459a-bcb6-42fcd1cbd814,226,reactivation,Reativação,1,4,active,whatsapp,send_sms,Et architecto sed repellendus consequatur autem doloremque.,2025-12-08 23:50:49.177186,0.31,0.62,"{""cart_value"": 281.64, ""items_count"": 1}",2025-11-10 13:50:49.177191,
14,8951ec6b-1bc3-4d9c-9546-74c80a367390,226,upsell,Upsell,3,3,active,email,send_sms,Voluptatem sunt provident animi dolore consectetur ab.,2025-12-08 17:50:49.177201,0.24,0.85,"{""cart_value"": 329.31, ""items_count"": 3}",2025-12-01 13:50:49.177207,
15,5077e927-4ea9-427e-a047-df89949a668d,226,upsell,Upsell,3,3,completed,email,send_sms,Labore quasi doloremque tempore culpa quibusdam minus.,2025-12-08 14:50:49.177217,0.3,0.87,"{""cart_value"": 470.32, ""items_count"": 3}",2025-11-25 13:50:49.177223,
16,60566ea1-f6f4-4611-90ce-4c3a7c574a24,226,abandoned_cart,Recuperação de Carrinho,1,3,active,whatsapp,send_whatsapp,Unde expedita quia et.,2025-12-08 21:50:49.177234,0.2,0.35,"{""cart_value"": 244.3, ""items_count"": 2}",2025-12-07 13:50:49.177253,
17,1dc1de97-d46d-4dd4-aff0-45a358b33607,226,reactivation,Reativação,3,4,paused,email,send_whatsapp,Vel fugit occaecati occaecati.,2025-12-10 11:50:49.177263,0.17,0.89,"{""cart_value"": 245.33, ""items_count"": 1}",2025-11-18 13:50:49.177270,
18,fcab9c62-5bc0-4ece-b641-ca42463379c4,226,onboarding,Boas-vindas,1,5,completed,email,send_whatsapp,Laborum sequi nobis laudantium ex.,2025-12-10 12:50:49.177282,0.42,0.35,"{""cart_value"": 446.25, ""items_count"": 2}",2025-11-28 13:50:49.177287,
19,a44bf349-d1c1-46d1-9423-2e794054f14d,226,reactivation,Reativação,1,4,completed,email,send_sms,Neque reiciendis optio expedita asperiores.,2025-12-08 23:50:49.177297,0.17,0.6,"{""cart_value"": 126.98, ""items_count"": 4}",2025-12-07 13:50:49.177302,
20,8b9cb984-f7a6-4092-966b-452543f53453,226,upsell,Upsell,3,3,active,email,send_sms,Illum expedita et saepe.,2025-12-09 00:50:49.177312,0.24,0.4,"{""cart_value"": 345.97, ""items_count"": 5}",2025-11-18 13:50:49.177318,
21,0ec502de-fdc6-4364-936c-fbccebb8ca44,226,abandoned_cart,Recuperação de Carrinho,2,3,completed,whatsapp,send_sms,Blanditiis doloribus illo fugiat corporis perferendis esse.,2025-12-09 01:50:49.177327,0.22,0.58,"{""cart_value"": 165.95, ""items_count"": 5}",2025-11-24 13:50:49.177333,
22,93d8df7b-911a-4a24-ab62-4e6028ecd0d7,226,abandoned_cart,Recuperação de Carrinho,1,3,paused,whatsapp,send_whatsapp,Nihil dolorum molestiae provident non deleniti.,2025-12-09 02:50:49.177342,0.17,0.43,"{""cart_value"": 364.99, ""items_count"": 2}",2025-11-23 13:50:49.177348,
23,79015ff4-e2d7-4b12-8d25-bf7381d13b80,226,reactivation,Reativação,4,4,completed,sms,send_sms,Dignissimos earum cum error autem dicta vel.,2025-12-08 19:50:49.177358,0.32,0.47,"{""cart_value"": 150.4, ""items_count"": 4}",2025-11-11 13:50:49.177363,
24,ae129e04-36b4-4a7a-ba45-6079d3781943,226,upsell,Upsell,2,3,completed,email,send_sms,Iure nostrum quod tempora.,2025-12-09 06:50:49.177374,0.29,0.47,"{""cart_value"": 292.0, ""items_count"": 2}",2025-11-24 13:50:49.177384,
25,fc6cd42e-7196-4bd7-8b2e-82122a257c1d,226,reactivation,Reativação,4,4,active,email,send_sms,Architecto eaque exercitationem.,2025-12-10 07:50:49.177399,0.34,0.46,"{""cart_value"": 326.92, ""items_count"": 1}",2025-11-19 13:50:49.177408,
26,43c18b6e-c318-4e5b-9bef-c64518ea8609,226,onboarding,Boas-vindas,2,5,paused,sms,send_sms,Natus labore enim temporibus aut sint sequi commodi.,2025-12-08 19:50:49.177425,0.44,0.69,"{""cart_value"": 414.78, ""items_count"": 1}",2025-12-05 13:50:49.177432,
27,fe10967e-1718-4edc-88a8-ababd828b233,226,upsell,Upsell,3,3,completed,email,send_email,Cumque magnam maxime earum quod quia ea tempore.,2025-12-10 04:50:49.177442,0.43,0.31,"{""cart_value"": 386.75, ""items_count"": 3}",2025-11-19 13:50:49.177447,2025-12-08 13:50:49.177448
28,6ff6e731-e40d-4480-9821-8c4c5ff41471,226,reactivation,Reativação,3,4,active,email,send_sms,Atque temporibus dicta deleniti.,2025-12-10 08:50:49.177458,0.32,0.61,"{""cart_value"": 468.67, ""items_count"": 4}",2025-11-30 13:50:49.177463,2025-12-04 13:50:49.177465
29,3d656a0b-1434-49c0-a5d1-06cebe42ef71,226,abandoned_cart,Recuperação de Carrinho,3,3,completed,whatsapp,send_sms,Nostrum assumenda cum officiis.,2025-12-09 10:50:49.177474,0.44,0.51,"{""cart_value"": 376.02, ""items_count"": 5}",2025-11-22 13:50:49.177479,2025-12-05 13:50:49.177480
30,4757f76f-86cd-4539-83c5-36a0c9d15acc,226,upsell,Upsell,3,3,active,sms,send_whatsapp,Odit mollitia fugiat maxime praesentium aliquid excepturi iste.,2025-12-09 11:50:49.177490,0.18,0.56,"{""cart_value"": 198.16, ""items_count"": 2}",2025-11-19 13:50:49.177496,
